norm_url,site,comment_chars,comment_count_approx(문단수),fetch_status
clien.net/service/board/cm_japanlive/18137102,clien.net,0,0,fetch_failed
clien.net/service/board/park/18728156,clien.net,293,15,ok
clien.net/service/board/use/18259174,clien.net,2357,57,ok
clien.net/service/board/kin/18742949,clien.net,136,3,ok
clien.net/service/board/cm_stock/19025279,clien.net,420,7,ok
ppomppu.co.kr/new/bbs_view.php?id=oversea&no=785163,ppomppu.co.kr,0,0,ok
ppomppu.co.kr/new/bbs_view.php?id=car&category=2&page=313&no=789165,ppomppu.co.kr,0,0,ok
ppomppu.co.kr/new/bbs_view.php?id=money&no=475652,ppomppu.co.kr,0,0,ok
ppomppu.co.kr/new/bbs_view.php?id=money&no=503858,ppomppu.co.kr,0,0,ok
ppomppu.co.kr/new/bbs_view.php?id=money&no=438977,ppomppu.co.kr,0,0,ok
mlbpark.donga.com/mp/b.php?b=bullpen&id=202410040097944774&p=1&sig=hgjjGY-1i3HRKfX2hda9GY-A5mlq,mlbpark.donga.com,0,0,robots_disallowed
fmkorea.com/best2/9623610641,fmkorea.com,0,0,robots_disallowed
fmkorea.com/index.php?cpage=12&document_srl=8589821953,fmkorea.com,0,0,robots_disallowed
fmkorea.com/best/9800618317,fmkorea.com,0,0,robots_disallowed
fmkorea.com/best/9165653684,fmkorea.com,0,0,robots_disallowed
fmkorea.com/best/9273220613,fmkorea.com,0,0,robots_disallowed
theqoo.net/travel/3135627176,theqoo.net,0,0,ok
theqoo.net/foreign/3252116493,theqoo.net,0,0,ok
theqoo.net/travel/2984829100,theqoo.net,0,0,ok
theqoo.net/travel/3524120117,theqoo.net,0,0,ok
theqoo.net/travel/3116434541,theqoo.net,0,0,ok
gall.dcinside.com/board/nokanto/149187,dcinside.com,5,1,ok
gall.dcinside.com/mgallery/board/view?id=nokanto&no=482957,dcinside.com,5,1,ok
gall.dcinside.com/mgallery/board/view?id=nokanto&no=421447,dcinside.com,5,1,ok
gall.dcinside.com/mgallery/board/view?id=nokanto&no=308176,dcinside.com,5,1,ok
gall.dcinside.com/mgallery/board/view?id=nokanto&no=531074,dcinside.com,5,1,ok
