norm_url,site,title,snippet,filter_verdict,snippet_hits,body_token_hits,auto_judgement,body_excerpt_500,manual_label
clien.net/service/board/use/18795908,clien.net,예쁘고 혜택 좋은 신용카드가 나와버렸다..(토스뱅크 WIDE) : 클리앙,https://blog.naver.com/pilog2017/223572479445 본문 그대로 가져왔습니다. 블로그에는 카드 실물 사진 몆장 더 올려놓은 차이 정도입니다. 이번에 토스뱅크가 하나카드와 제휴해서 새로운 신용카드가 나왔습니다.,excluded,,,,"https://blog.naver.com/pilog2017/223572479445 본문 그대로 가져왔습니다. 블로그에는 카드 실물 사진 몆장 더 올려놓은 차이 정도입니다. 이번에 토스뱅크가 하나카드와 제휴해서 새로운 신용카드가 나왔습니다. 그 이름은 토스뱅크 신용카드 WIDE! 혜택 좋은 카드는 태생적으로 카드 디자인은 대부분 구렸습니다. 그런데, 이 카드는 혜택도 심플하고 좋은데, 디자인도 괜찮습니다(역시 토스가 일을 잘합니다..) 여러 카드를 발급받으면서도 글까지 쓸 정도는 아니었는데, 이것보다 더 편하고, 혜택 좋은 카드는 없는 것 같아 글까지 쓰게 되었습니다(더 좋은 것 있으면 알려주세요!) 처음 이 소개 화면을 보고, 메탈카드인가? 했지만, 메탈카드는 아니었습니다. 연회비 2만원 카드인데, 메탈카드일 수는 없겠죠? 혜택은 전월 실적 40만원 채우면 2% 청구할인입니다. 월 최대 10만원 할인이면, 월 500만원까지 2%가 온전히 할인되는 셈입니다. 대부분 사람에게 주력카드로",
clien.net/service/board/kin/16590029,clien.net,토스카드 배송 얼마나 걸리나요? : 클리앙,"어제까지 대기자 100만이었다가... 갑자기 사라지고, 통장 발급 신청이 가능해졌네요.. 한 열흘은 기다리지 않을까 했는데.... 그나저나 오늘 신청한 토스카드 언제쯤 오나요? 이미 받으신 분들은 얼마나 걸렸는지 알고싶네요",excluded,,,,"어제까지 대기자 100만이었다가... 갑자기 사라지고, 통장 발급 신청이 가능해졌네요.. 한 열흘은 기다리지 않을까 했는데.... 그나저나 오늘 신청한 토스카드 언제쯤 오나요? 이미 받으신 분들은 얼마나 걸렸는지 알고싶네요",
clien.net/service/board/kin/16901090,clien.net,토스 otp 카드 타 은행 등록 방법 : 클리앙,<strong>범용성 없는 전용 NFC OTP</strong>입니다. 범용성 있는걸로 타행에서 발급하셔야 해요. 토스뱅크에 타행 발급 OTP는 등록 가능하나 토스뱅크카드의 OTP를 타행에서 등록시키진 못합니다.,excluded,,보험,잠정 오제외,CLIEN 본문 바로가기 메뉴 바로가기 보기설정 테마설정 톺아보기 공감글 커뮤니티 커뮤니티전체 C 모두의광장 F 모두의공원 I 사진게시판 Q 아무거나질문 D 정보와자료 N 새로운소식 T 유용한사이트 P 자료실 E 강좌/사용기 L 팁과강좌 U 사용기 · 체험단사용기 W 사고팔고 J 알뜰구매 S 회원중고장터 B 직접홍보 · 보험상담실 H 클리앙홈 소모임 소모임전체 · 굴러간당 · 아이포니앙 · 주식한당 · MaClien · 일본산당 · 방탄소년당 · 자전거당 · 개발한당 · 안드로메당 · 이륜차당 · 소셜게임한당 · 골프당 · 가상화폐당 · 소시당 · 나스당 · 클다방 · 요리한당 · WOW당 · AI그림당 · 창업한당 · 스팀한당 · 덕질한당 · 물고기당 · 테스트당 · AI당 · 바다건너당 · 노젓는당 · 키보드당 · 걸그룹당 · 갖고다닌당 · PC튜닝한당 · 육아당 · 여행을떠난당 · 사과시계당 · 위스키당 · 3D메이킹 · X세대당 · ADHD당 · 날아간당 · 배드민턴당 · 야,
clien.net/service/board/park/18775115,clien.net,토스에서 간만에 괜찮은 카드 나왔네요. : 클리앙,@서울엘란님 이게 29일출시카드라 일부러 숨겨놓은건 아닐텐데 <strong>토스 들어가셔서 토스상품에서 보셔야 합니다</strong>.,excluded,,,,"토스 wide카드입니다. 무실적 1%에 40만원실적에 2%고 실적,할인제외는 동일한데 요샌 다 저정도는 제외라서 괜찮은거 같습니다. 2%기준 500만원 사용까지 할인됩니다. 요즘엔 그냥 저렇게 원카드로 쓰는게 나은거 같아요 ㅎㅎ",
clien.net/service/board/park/16629211,clien.net,토스 카드를 발급 받고 가장 좋은 점은… : 클리앙,GS는 비자 컨택리스만 지원해서 그렇습니다 ㅠㅠ 마스터카드인 토스체크론 컨택리스가 ㅠㅜ,excluded,,,,"체크카드에서는 드물게 ‘Mastercard Just Tap & Go’라는 터치 결제 기능을 지원해서 점원한테 카드 줄 필요도 없고 어디 꼽을 일도 없고 그냥 갖다대면 결재되는게 아주 편합니다. 아, 신용카드에는 많이 퍼져 있습니다. 카드 앞면이나 뒷면에 와이파이 같은 표시가 있으면 이 기능을 지원하는 겁니다. 중요한 건 제가 신용카드를 안 써서...ㅎㅎ 시국이 시국인지라 제 카드 어디 꼽거나 다른 사람 제 거 만지는 것도 별로 안 좋아해서 요새 정말 잘 쓰고 있습니다. 꼽아서 쓰는 걸 싫어하는 이유는 카드 쓸 일이 많아서 그런지 IC칩이 빨리 헐어요… 덕분에 기간도 안 됐는데 카드 재발급만 몇번인지 ㅠ 이렇게 편하게 쓰고 있는데 단점이 좀 있습니다. 1. 카드결제한다고 말해야 한다. 가끔 빨리빨리하려는 직원은 꼽기도 전에 POS기에서 결제 버튼을 눌러 결제 대기상태를 만들어 저에게는 좋은 분들이 존재하지만 대부분 카드가 먼저 꼽아지기를 기다리는 분들이 대부분입니다. 그래서 한마디씩 ",
clien.net/service/board/park/17798046,clien.net,토스신용카드의 교통카드 기능이 사망했습니다 ㅠ : 클리앙,"어제 퇴근할 때 지하철 탈 때는 잘 찍히더니, 하차할 때는 안 찍히더라고요. 역무원한테 하차처리 해달라고해도 안 찍히기고요. 혹시나 싶어서 오늘 출근할 때 다시 찍어보니 역시나 안되네요... 재발급 받아서 자동결제 ...",excluded,,,,"어제 퇴근할 때 지하철 탈 때는 잘 찍히더니, 하차할 때는 안 찍히더라고요. 역무원한테 하차처리 해달라고해도 안 찍히기고요. 혹시나 싶어서 오늘 출근할 때 다시 찍어보니 역시나 안되네요... 재발급 받아서 자동결제 걸어놓은 것들 다 바꿔주려면 귀찮은데 ㅠㅠ",
clien.net/service/board/cm_iphonien/19172439,clien.net,토스 애플페이가 가능해지면 어떤점이 더 나아지는걸까요? : 클리앙,토스가 발급하는 카드에 대해서만 가능해지죠.,excluded,,,,"그냥 단순히 현대카드 처럼 그냥 토스 이름 달고나오는 토스 발급 카드들을 애플페이에서 쓸수있는건지, 아니면 혹시 토스페이에 등록된 타사의 카드들까지 쓸수있게 되는건지.. 설마 이건 아니죠?",
clien.net/service/board/park/13319179,clien.net,토스 플레이트 카드 도착했네요 : 클리앙,일단 메탈 카드인줄 알았는데 플라스틱이고 외부 코팅 필름 마감 개구리네요 밀대 작업해서 밀어낸 흔적 다보입니다 그리고 보통 카드 받으면 약관 및 혜택 안내서가 있어야하는데 이건 없네요... 카드랑 이상한 스티커 달랑 끝,excluded,,,,일단 메탈 카드인줄 알았는데 플라스틱이고 외부 코팅 필름 마감 개구리네요 밀대 작업해서 밀어낸 흔적 다보입니다 그리고 보통 카드 받으면 약관 및 혜택 안내서가 있어야하는데 이건 없네요... 카드랑 이상한 스티커 달랑 끝,
clien.net/service/board/jirum/16722824,clien.net,[토스] 구글 플레이스토어 결제시 50% 포인트 환급 (최대 5000원) : 클리앙,<strong>토스페이로 구글 스토어에서 결제하면 5000원까지 토스포인트로 돌려줍니다</strong>. 기간은 이달 말까지인데 무언가 소진되면 끝이라고 하네요. 아직 되는것을 확인했습니다. 그러니까 만원짜리 사면 최대로 돌려받습니다.,excluded,,,,토스페이로 구글 스토어에서 결제하면 5000원까지 토스포인트로 돌려줍니다. 기간은 이달 말까지인데 무언가 소진되면 끝이라고 하네요. 아직 되는것을 확인했습니다. 그러니까 만원짜리 사면 최대로 돌려받습니다. 저는 이북 구매했습니다.,
clien.net/service/board/park/16603008,clien.net,토스뱅크 레몬블루카드입니다. : 클리앙,아침에 2차백신 맞으러가기 직전에 받았습니다. 그래서 스타벅스도 가고 맘스터치도 갔습니다. 혜택 사라지기 전까지 잘 써야겠어요!,excluded,,보험,잠정 오제외,CLIEN 본문 바로가기 메뉴 바로가기 보기설정 테마설정 톺아보기 공감글 커뮤니티 커뮤니티전체 C 모두의광장 F 모두의공원 I 사진게시판 Q 아무거나질문 D 정보와자료 N 새로운소식 T 유용한사이트 P 자료실 E 강좌/사용기 L 팁과강좌 U 사용기 · 체험단사용기 W 사고팔고 J 알뜰구매 S 회원중고장터 B 직접홍보 · 보험상담실 H 클리앙홈 소모임 소모임전체 · 굴러간당 · 아이포니앙 · 주식한당 · MaClien · 일본산당 · 방탄소년당 · 자전거당 · 개발한당 · 안드로메당 · 이륜차당 · 소셜게임한당 · 골프당 · 가상화폐당 · 소시당 · 나스당 · 클다방 · 요리한당 · WOW당 · AI그림당 · 창업한당 · 스팀한당 · 덕질한당 · 물고기당 · 테스트당 · AI당 · 바다건너당 · 노젓는당 · 키보드당 · 걸그룹당 · 갖고다닌당 · PC튜닝한당 · 육아당 · 여행을떠난당 · 사과시계당 · 위스키당 · 3D메이킹 · X세대당 · ADHD당 · 날아간당 · 배드민턴당 · 야,
